Time, Altitude, U, V, W, Temperature
26.617539,-5912.563254,-0.02,0.1,-0.16,22.77
26.705728,-13352.0737,0.04,0.08,-0.06,22.85
26.788096,964.459256,-0.04,0.06,0.02,22.93
26.876256,-2885.269528,-0.02,0.08,-0.06,22.93
26.964412,3395.430188,-0.06,0.04,-0.04,22.89
27.05232,-14102.87059,-0.02,0.06,-0.06,22.93
27.140148,-13178.65981,0.04,0.04,-0.02,22.97
27.228243,-4200.816203,0.04,0.04,0,22.93
27.316425,-7165.084911,-0.04,-0.08,0.04,22.73
27.405128,-10285.70245,-0.06,-0.04,0.1,22.81
27.494016,-9094.722236,-0.04,-0.06,0.1,22.85
27.58239,-11596.9486,-0.06,-0.06,0.06,22.69
27.670826,7445.62294,-0.04,-0.12,0.08,22.69
27.759166,1133.862308,0,-0.14,-0.04,22.61
27.848006,-7415.418904,-0.02,-0.14,-0.02,22.65
27.936324,-837.858131,-0.02,-0.14,-0.06,22.65
28.029373,2556.604226,-0.02,-0.12,0,22.69
28.108837,-910.763031,-0.04,-0.14,-0.04,22.57
28.196431,-9750.776726,-0.06,-0.06,-0.06,22.61
28.285231,-7520.92063,-0.06,-0.06,-0.06,22.65
28.373532,-7583.26797,-0.16,-0.12,0.02,22.61
28.461713,-1084.75982,-0.08,-0.04,0.04,22.65
28.549361,3849.80108,-0.14,-0.14,0,22.49
28.63781,-10519.9053,-0.14,-0.16,0.04,22.53
28.725558,-12828.47726,-0.12,-0.22,0.04,22.49
28.814061,-14200.8538,-0.08,-0.04,0.08,22.49
28.902304,-9595.305427,-0.1,-0.06,0.08,22.49
28.990729,-7931.651365,-0.12,-0.06,0.04,22.45
29.075924,10493.87676,-0.06,-0.04,0.02,22.61
29.1641,-5909.036323,-0.1,-0.06,0.04,22.45
29.252941,1712.75821,-0.1,-0.1,0,22.45
29.342068,-8088.282411,-0.12,-0.1,0.02,22.45
29.430731,1462.338792,-0.1,-0.1,-0.02,22.45
29.519736,-5864.990446,-0.08,0.02,-0.04,22.61
29.609042,6294.020062,-0.08,0,0,22.61
29.697346,-14202.96482,-0.06,0.08,-0.06,22.49
29.790244,-3700.843474,-0.06,0.12,-0.02,22.65
29.866912,-2850.651357,-0.2,0.04,0.08,22.53
29.95202,-245.485821,-0.14,0.12,0.04,22.49
30.039232,-8751.678345,-0.14,0.04,0.04,22.41
30.127245,6780.62548,-0.12,0.12,0.04,22.45
30.216207,-1294.640617,-0.18,0.08,0.06,22.57
30.305061,1260.014129,-0.14,0.08,0,22.49
30.393717,-11051.66529,-0.14,0.08,0.04,22.49
30.482238,-13132.69325,-0.14,0.08,0,22.45
30.570582,-12225.6525,0,0.04,0.04,22.49
30.659708,-11851.17076,0,0.1,0.02,22.45
30.748355,9314.893357,0.04,0.08,-0.02,22.45
30.836803,-6470.299546,-0.04,0.06,0.02,22.53
30.924967,3023.034492,-0.02,0.04,-0.06,22.41
31.01489,-9097.850248,0,0.06,-0.04,22.61
31.103833,-11455.28751,0.06,0.1,0,22.61
31.192139,9882.605311,0.04,0.08,0,22.77
31.28082,-2051.116464,0.02,0.04,-0.04,22.61
31.368853,-11232.54368,0.04,0.04,-0.04,22.61
31.457645,-367.719376,0.06,0.12,-0.04,22.77
31.545817,-8561.24972,0.02,0.06,0,22.77
31.622345,-12322.17389,0.04,0.06,-0.02,22.65
31.711507,11547.45422,0.04,0.04,-0.06,22.57
31.801507,-11547.37296,0.02,0.08,0.06,22.61
31.892185,1120.244497,0.06,0.12,0.04,22.57
31.982076,-5546.561764,-0.02,0.04,0.04,22.49
32.072008,11283.77294,0.06,0.02,0,22.57
32.162667,-8920.652866,0.02,0.02,-0.02,22.61
32.252864,6492.441476,0.02,0.04,0,22.69
32.342279,-3431.477511,0,0.04,0,22.65
32.432221,-13043.01032,0.04,0.04,-0.06,22.57
32.520838,711.445683,0.04,0.12,-0.02,22.49
32.605929,-11096.95948,0,0.06,0,22.49
32.691324,6078.899292,0.06,0.06,-0.06,22.53
32.775932,-8721.727533,0.08,0.12,-0.08,22.61
32.8637,-13341.34099,0.1,0.08,0.02,22.61
32.952855,-4005.354826,0.04,0.06,-0.02,22.57
33.043037,505.300225,0.04,0.04,0,22.53
33.133461,-10180.22047,0.02,0.04,-0.02,22.61
33.223404,642.306104,0.1,0.12,-0.04,22.61
33.316901,-7639.760376,0.04,0.06,-0.06,22.61
33.395007,-10298.67537,0.06,0.1,-0.06,22.65
33.468337,3126.512777,0.06,0.12,-0.06,22.77
33.543811,7026.241374,0.1,0.12,-0.02,22.73
33.620248,9959.151574,0.12,0.12,0,22.65
33.695661,13864.32796,0.06,0.06,0,22.77
33.771427,-7282.757364,0.08,0.1,-0.02,22.73
33.847232,5517.855658,0.02,0.08,-0.04,22.77
33.923142,-8812.02976,0.04,0.18,-0.06,22.77
33.99917,13005.41383,0.06,0.14,-0.06,22.61
34.077715,8699.687186,0.02,0.06,0,22.65
34.150254,2269.253366,0.04,0.1,0.02,22.73
34.226029,-348.638848,0.02,0.06,-0.04,22.61
34.301696,5267.40018,0.06,0.08,0,22.61
34.377512,8040.67052,0.12,0.08,-0.04,22.49
34.453072,-3236.191765,0.08,0.06,-0.04,22.49
34.528444,25623.6366,0.08,0.04,-0.04,22.41
34.60425,-6388.886124,0.04,0,-0.08,22.41
34.680192,-13129.48055,0.1,0.12,-0.04,22.57
34.752157,-7836.400247,0.12,0.12,-0.08,22.49
34.841549,-5380.154794,0.1,0.1,-0.06,22.45
34.924997,-11952.58628,0.08,0.06,-0.04,22.41
35.013575,12840.81712,0.06,0.06,-0.06,22.37
35.102186,8252.629302,0.12,0.12,-0.06,22.45
35.19133,-6507.296861,0.08,0.04,-0.06,22.33
35.280327,1616.625061,0.04,0.04,-0.08,22.33
35.368919,24208.71949,0.08,0.04,-0.08,22.37
35.457599,4274.826605,0.12,0.04,-0.06,22.45
35.545538,-965.994056,0.08,-0.02,-0.06,22.33
35.63497,-10633.026,0.12,0.02,-0.06,22.41
35.724514,695.554829,0.1,-0.04,-0.04,22.29
35.81369,7025.802494,0.12,0.02,-0.04,22.29
35.902769,-555.070279,0.04,0.02,-0.04,22.25
35.987933,8770.130032,0.04,0.04,-0.04,22.29
36.076605,8770.130032,0.02,0.04,-0.06,22.29
36.165549,-1864.971339,0.04,0.02,-0.1,22.25
36.251096,5741.738925,0.04,0.06,-0.08,22.33
36.34005,-11187.30133,0.1,0.06,-0.02,22.45
36.428858,21744.4005,0.12,0.08,-0.02,22.49
36.517706,21744.4005,0.06,0.02,-0.06,22.29
36.606881,-9466.319235,0.06,0.04,-0.04,22.41
36.691428,-6564.924533,0.06,0.04,-0.06,22.29
36.78032,-11242.73443,0.12,0.04,-0.08,22.37
36.869136,1249.865833,0.1,0,-0.06,22.33
36.957631,3451.657572,0.14,0.04,-0.06,22.33
37.046638,9139.759551,0.1,-0.02,-0.06,22.25
37.135252,-3441.056703,0.06,-0.04,-0.06,22.25
37.224461,-5962.83829,0.1,0.08,0,22.45
37.313441,-9457.023499,0.1,0.08,-0.02,22.33
37.402782,10237.99592,0.04,0.04,-0.06,22.29
37.492284,-3622.685854,0.06,0.06,-0.08,22.17
37.581451,8963.594864,0.02,0,-0.08,22.25
37.670321,-14893.42947,0.08,0.04,-0.08,22.37
37.758866,-2928.606336,0.08,-0.02,-0.04,22.29
37.847467,9801.036615,0.12,0,-0.14,22.01
37.936265,625.835987,0.06,0.04,-0.12,22.13
38.025237,-10314.63925,0.04,0.04,-0.16,22.05
38.113612,-4071.593063,0.12,0.04,-0.1,22.05
38.202408,3985.261957,0.12,0.04,-0.12,21.97
38.291312,-8054.530929,0.12,0,-0.1,21.97
38.380629,-2267.447034,0.08,-0.04,-0.1,22.01
38.467992,5741.326832,0.08,-0.08,-0.12,21.93
38.550898,-2675.768191,0.12,-0.06,-0.08,21.97
38.640147,-6366.677603,0.08,-0.06,-0.08,21.97
38.729173,-8561.498955,0.08,0,-0.08,22.01
38.818245,-8950.588937,0.1,-0.06,-0.06,21.97
38.907907,6984.032087,0.14,0.04,-0.1,22.01
38.997574,-10311.91978,0.12,0.04,-0.1,22.09
39.086326,-12216.23199,0.12,0.04,-0.14,21.97
39.176112,3277.124904,0.12,-0.04,-0.1,21.97
39.265317,-478.784562,0.08,0.02,-0.06,22.05
39.354951,-10727.8146,0.08,0.08,-0.14,22.13
39.43701,-674.388917,0.08,0.06,-0.1,22.21
39.51542,-674.388917,0.04,0,-0.14,22.09
39.604739,2252.003609,0.12,0.06,-0.14,22.17
39.692434,3164.252661,0.1,0.1,-0.12,22.25
39.781478,1806.952162,0.08,0.04,-0.06,22.09
39.870143,12871.68111,0.08,0.04,0.02,22.21
39.959467,-7929.735351,0.06,0.02,-0.04,22.13
40.048329,-12582.44084,0.12,0.12,-0.1,22.13
40.137191,-746.734468,0.12,0.12,-0.08,22.13
40.226375,567.405944,0.14,0.04,-0.12,22.01
40.310775,-7321.292754,0.14,0.08,-0.08,22.13
40.399869,-12211.16956,0.12,0.04,-0.1,22.13
40.487772,5543.205438,0.12,0.02,-0.08,22.01
40.576193,-6037.245574,0.12,0.02,-0.1,22.01
40.664137,18952.96723,0.12,0.02,-0.1,22.01
40.747496,6539.749945,0.1,0.02,-0.06,22.05
40.828897,1682.468315,0.14,0.06,-0.04,22.13
40.919314,10643.24721,0.12,0.06,-0.06,22.09
41.006947,-217.432372,0.12,0.02,-0.12,21.97
41.097571,-7518.905604,0.04,0.02,-0.06,22.13
41.188427,-6326.167824,0.12,0.02,-0.1,22.05
41.279219,12787.18058,0.08,0.02,-0.02,22.17
41.369889,-10039.45731,0.08,0.02,-0.04,22.13
41.461023,-11772.49887,0.08,0.04,-0.04,22.17
41.551004,-8828.309135,0.14,0.04,-0.02,22.21
41.641394,7483.724971,0.12,0.06,-0.04,22.17
41.732255,-6000.743474,0.1,0.06,0,22.21
41.82197,1192.478036,0.06,0.02,-0.06,22.05
41.912899,-2750.398732,0.06,0.04,-0.02,22.17
42.007714,-10423.04054,0.06,0.04,-0.02,22.21
42.094119,-14186.50207,0.02,0,-0.04,22.13
42.1849,-9123.866269,0.06,0.1,-0.06,22.33
42.274915,3211.07103,0.08,0.1,-0.04,22.45
42.364695,-13154.57283,0.08,0.08,-0.04,22.29
42.455948,-10004.12531,0.1,0.08,0,22.33
42.54623,-12839.13473,0.04,0.06,-0.02,22.37
42.637031,3698.385673,0,0.06,0,22.57
42.727372,10170.74409,0,0.04,0.04,22.61
42.817364,10170.74409,0.12,0.06,0.02,22.45
42.90834,-5640.185855,0.1,0.12,0.02,22.49
42.998568,-8261.069151,0.18,0.06,0,22.29
43.088983,-5964.622262,0.1,0.06,-0.02,22.33
43.17895,-6322.119078,0.12,0.12,0,22.45
43.270088,-6433.250114,0.06,0.1,-0.06,22.29
43.360848,4021.268866,0,0.08,-0.06,22.33
43.45137,8674.291698,0.06,0.06,0,22.21
43.542378,24634.10414,0.06,0.1,0.04,22.29
43.632218,-6557.360853,0.04,0.06,-0.04,22.13
43.723183,-5554.089432,-0.02,0.06,0,22.17
43.811868,-9703.459219,0.04,0.1,-0.04,22.05
43.896615,-9575.438293,0.04,0.08,0,22.37
